Data Size,Standard Deviation of Verify Time
4426.0,0.0
64968.0,0.0
48146.0,0.0
4380.0,0.0
9163.0,0.0
66615.0,0.0
17493.0,0.0
3654.0,0.0
4374.0,0.0
20400.0,1.109151884484927e-05
5499.0,1.040009486519796e-05
5466.0,1.7911170961042309e-06
5413.0,7.152557373046875e-07
5521.0,8.588108898767975e-06
5445.0,1.1492263963615204e-06
5470.0,1.2210626498811588e-05
5498.0,5.903286033086698e-06
5484.0,1.3402432749324032e-06
5448.0,9.175986429925145e-06
5497.0,1.254201822737511e-05
5441.0,1.515565290538719e-06
5588.0,2.0604593774609095e-06
5544.0,6.334819483712816e-06
5435.0,1.1411483543986828e-05
5562.0,5.75204552700209e-06
5595.0,3.17553499522637e-06
5442.0,9.586285020363188e-06
5547.0,4.515420667295139e-06
5496.0,8.541709538763393e-06
5485.0,5.9370983605325985e-06
5560.0,8.756812893012503e-07
5572.0,6.966377806128265e-06
5550.0,1.1155149004547915e-05
5510.0,7.059062406499593e-06
5555.0,5.756264543809208e-06
5529.0,1.1016261726689587e-05
5577.0,8.957017907015791e-06
5606.0,7.587617720868948e-06
5556.0,6.071689495383082e-06
5570.0,9.518861517330532e-06
5610.0,2.152461270837983e-06
5524.0,7.925754980190759e-06
5512.0,1.1819500698833346e-06
5503.0,8.695874405506573e-06
5534.0,1.5894889828364117e-05
5622.0,1.1883208874204551e-05
5602.0,7.407999809111258e-07
5492.0,5.861219038964329e-06
5605.0,2.1148735912605656e-05
5561.0,5.90315928113326e-06
5443.0,7.521945585903547e-06
5516.0,1.0406558851319449e-05
5568.0,1.3660901602100824e-05
5508.0,1.0699302148418492e-05
5479.0,6.940952932172712e-06
5589.0,1.0506126360273687e-05
5611.0,8.991761213673442e-06
5557.0,1.0327570741160079e-05
5540.0,6.629846784580845e-06
5623.0,1.0092740291841853e-05
5579.0,8.739789043701192e-06
5616.0,7.187791859051395e-06
5536.0,5.493546696275825e-06
5552.0,3.5088505080487332e-06
5600.0,6.577319379148549e-06
5543.0,1.0939591294704231e-05
5537.0,5.628002858592738e-06
5575.0,1.1137760491980098e-05
5615.0,8.47616901441746e-06
5617.0,7.218480954402665e-06
5531.0,8.101898826802083e-06
5553.0,6.484455060070843e-06
5574.0,1.679963019366533e-06
5533.0,1.137904415965088e-06
5619.0,5.840038639982171e-07
5594.0,9.459153107229132e-06
5591.0,9.464165955594391e-06
5583.0,5.660939336705528e-06
5643.0,2.1149152516377178e-06
5526.0,1.4859546195855474e-05
5581.0,1.029993472228624e-05
5528.0,4.947783920374991e-06
5554.0,9.857838632797039e-06
5487.0,7.641549062663572e-06
5584.0,2.9024463259760286e-06
5501.0,7.324108542666194e-06
5477.0,7.1300304587141035e-06
5507.0,1.9156338959383762e-05
5519.0,7.9628409087327e-06
5559.0,1.3249186144362078e-05
5505.0,1.0647773624041867e-05
5488.0,5.646304029286857e-06
5546.0,1.256624795941146e-05
5545.0,2.6774032242827585e-06
5500.0,6.307406400140505e-06
5471.0,4.496892956223492e-06
5517.0,8.701142615051953e-06
5532.0,1.5466456227865762e-05
5482.0,1.007081382602913e-05
5590.0,8.002240401997382e-07
5599.0,2.515676153985499e-05
5548.0,2.5531599321768943e-05
5587.0,9.292362208852516e-06
5549.0,3.495570756761818e-06
5564.0,8.970747381126312e-06
5580.0,5.562246401161067e-06
5511.0,7.071492016636343e-06
5558.0,1.4255357674481151e-06
5612.0,7.709914213214978e-06
5571.0,3.951775462279644e-06
5626.0,8.762134172115931e-06
5635.0,1.1927030909002614e-05
5604.0,1.1084541030987099e-05
5566.0,1.0687237468637076e-05
5535.0,1.5384255776678746e-06
5607.0,1.257304847091218e-06
5603.0,1.5882240754039315e-05
5475.0,1.1706963386225491e-05
5514.0,8.656423133755036e-06
5541.0,5.89933960328433e-06
5569.0,2.5531341193705125e-06
5525.0,7.890716656025704e-06
5523.0,1.1254644926361805e-05
5486.0,8.879931905353379e-06
5530.0,1.3490620347253675e-05
5434.0,1.710975181389728e-06
5551.0,1.7120069401249463e-06
5427.0,1.9405866379856713e-06
5538.0,5.0687488372789376e-06
5490.0,1.0573929153105356e-05
5582.0,6.6859093535508045e-06
5513.0,6.360614372508398e-06
5506.0,1.4151148083316245e-05
5522.0,5.7663789588283445e-06
5631.0,2.9736021254650284e-07
5573.0,1.2315951855107924e-05
5586.0,8.821421674008874e-06
5596.0,1.0969629928888158e-05
5462.0,8.101078149200997e-06
5601.0,2.684724475910043e-06
5597.0,7.181853676623716e-06
5621.0,7.221962128066238e-06
5567.0,9.345741584188168e-05
5563.0,1.1331471065212488e-05
5598.0,1.021619960050612e-05
5565.0,7.480608511178917e-06
5613.0,8.042296320418576e-06
5520.0,1.3782747509416404e-05
5483.0,5.998294360673344e-06
5457.0,4.22855363414676e-06
5474.0,1.350594428850989e-06
5472.0,1.0092280517325437e-05
5620.0,8.659230325281174e-06
5585.0,5.97361068567921e-06
5439.0,0.0
5458.0,5.794922510722327e-06
5509.0,9.848483951600494e-06
5401.0,4.76837158203125e-07
5495.0,9.246898606425465e-06
5451.0,1.044214102786817e-05
5461.0,8.552568455549433e-06
5468.0,1.4017951421311231e-05
5608.0,5.896655906780356e-06
5592.0,1.2288803555035264e-05
5628.0,7.96132437265028e-06
5609.0,1.3704402793121256e-06
5415.0,3.6954879760742188e-06
5402.0,0.0
5539.0,1.4846579629329085e-06
5527.0,1.2866014526793218e-06
5659.0,0.0
5671.0,8.129479227129486e-06
5419.0,0.0
5660.0,9.894371032714844e-06
5459.0,7.50219165254302e-06
5493.0,6.2160986482538116e-06
5453.0,1.1018962868014662e-06
5450.0,1.257909046760245e-06
5421.0,2.384185791015625e-07
5452.0,5.462855929083633e-07
5634.0,1.9172570040726375e-06
5593.0,7.085325243142422e-06
5467.0,1.2763252194649207e-05
5667.0,0.0
5666.0,2.7418136596679688e-06
5668.0,0.0
5424.0,5.520933288878889e-06
5423.0,6.9307259846380595e-06
5436.0,1.1327235077894344e-05
5460.0,1.8717400229364236e-06
5437.0,1.3573641051044262e-05
5464.0,1.8585249282826723e-06
5446.0,1.8390713477780237e-06
5465.0,8.969211802847496e-06
5480.0,2.8451838745444326e-06
5430.0,0.0
5542.0,6.203466334942669e-06
5518.0,5.147295149295627e-06
5447.0,2.247831920581015e-07
5432.0,0.0
5456.0,7.939589270225612e-06
5651.0,1.187314948843835e-06
5576.0,7.146345858741879e-07
5674.0,0.0
5627.0,8.61327792031818e-06
5647.0,9.298324584960938e-06
5670.0,0.0
5625.0,5.242498738121038e-06
5578.0,7.946665064080586e-07
5664.0,0.0
5636.0,8.054691931186277e-06
5491.0,6.456743128443721e-06
5624.0,1.1040196214655742e-05
5494.0,1.1638365487037967e-05
5463.0,7.28254613657356e-06
5515.0,6.228614081198278e-06
5390.0,0.0
5473.0,6.198883056640625e-07
5481.0,3.196992728791345e-06
5649.0,1.6890319961672728e-06
5675.0,2.1457672119140625e-06
5614.0,8.879163711926156e-06
5676.0,2.384185791015625e-07
5633.0,9.677059074376722e-06
5630.0,6.848052318737541e-07
5653.0,8.433208874097513e-06
5489.0,8.778064264605254e-07
5637.0,1.8803969440245302e-06
5644.0,1.6689300537109375e-06
5639.0,1.251539846104274e-06
5418.0,8.549093181997289e-06
5476.0,2.604720214964784e-06
5478.0,7.125574005900122e-06
5650.0,6.610474888330351e-07
5629.0,1.0407379865048283e-05
5438.0,8.199103663300397e-06
5440.0,8.44852475410831e-06
5340.0,0.0
5425.0,0.0
5428.0,7.273290818372545e-06
5372.0,0.0
5455.0,1.5071219641711091e-06
5429.0,8.344650268554688e-07
5433.0,0.0
5407.0,0.0
5416.0,9.156639275394211e-07
5417.0,1.1920928955078125e-06
5502.0,7.962511117929579e-06
5408.0,0.0
5449.0,1.0091332166227487e-05
5404.0,1.8358230590820312e-05
5693.0,0.0
5665.0,1.1920928955078125e-06
5657.0,0.0
5397.0,3.814697265625e-06
5469.0,7.94273882162061e-06
5646.0,1.430511474609375e-06
5713.0,0.0
5692.0,0.0
5632.0,7.42071843027397e-07
5652.0,1.5613939527184566e-06
5678.0,2.5033950805664062e-06
5618.0,8.778064264605254e-07
5504.0,1.0123557204327064e-05
5422.0,0.0
5399.0,1.1920928955078125e-07
5431.0,1.1920928955078125e-07
5697.0,3.5762786865234375e-07
5708.0,0.0
5640.0,4.256623046721727e-07
5682.0,0.0
5420.0,5.960464477539062e-07
5641.0,0.0
5711.0,0.0
5669.0,1.0721474936192864e-06
5648.0,2.384185791015625e-07
5718.0,0.0
5684.0,2.2649765014648438e-06
5698.0,0.0
5655.0,3.0994415283203125e-06
5663.0,4.052336624139774e-07
5688.0,0.0
5393.0,0.0
5411.0,7.867411722033553e-07
5426.0,0.0
5414.0,0.0
5385.0,0.0
5391.0,0.0
5403.0,9.330533422749311e-06
5405.0,0.0
5679.0,0.0
5681.0,2.2649765014648438e-06
5654.0,0.0
5662.0,0.0
5645.0,1.1920928955078125e-06
5406.0,0.0
5454.0,0.0
5444.0,0.0
