Data Size,Standard Deviation
4426.0,0.0
64968.0,0.0
48146.0,0.0
4380.0,0.0
9163.0,0.0
66615.0,0.0
17493.0,0.0
3654.0,0.0
4374.0,0.0
20400.0,0.002973839581477778
5499.0,0.00046525635523010433
5466.0,0.0007690498548702427
5413.0,0.00020515918731689453
5521.0,0.0005978597645516895
5445.0,0.0008913294757332112
5470.0,0.0008738242402525164
5498.0,0.0010238521758159516
5484.0,0.0006554663727383164
5448.0,0.0010696818292999166
5497.0,0.0023907455736481378
5441.0,0.0009892454963088997
5588.0,0.0011011893127816272
5544.0,0.0007179383104298873
5435.0,0.000378809384458415
5562.0,0.0008905345930480911
5595.0,0.0011540366109569215
5442.0,0.0007442814456376821
5547.0,0.0008196681813600086
5496.0,0.0008195243561497973
5485.0,0.0009308154671029085
5560.0,0.0006678284084622465
5572.0,0.0007880326174915387
5550.0,0.0009046384541549343
5510.0,0.0007965482460995553
5555.0,0.0006365712984457563
5529.0,0.0008379352351937528
5577.0,0.0005968657224172223
5606.0,0.0005728346107795398
5556.0,0.0008659708202565583
5570.0,0.0007034590553312793
5610.0,0.0008785602328556831
5524.0,0.001061693823176696
5512.0,0.001177410563954918
5503.0,0.0009102119458830705
5534.0,0.0012581787757728019
5622.0,0.0010253666571300312
5602.0,0.0008085329514902205
5492.0,0.001088063842822133
5605.0,0.0008940109758183615
5561.0,0.0006208287587787004
5443.0,0.0007365113601645335
5516.0,0.002351645563341747
5568.0,0.001136012749685619
5508.0,0.0013325293456673186
5479.0,0.001310320681489001
5589.0,0.0010408301971192766
5611.0,0.0009636561100403891
5557.0,0.0010144918164527912
5540.0,0.0011358248011939785
5623.0,0.0007164321701731243
5579.0,0.0012203020586218287
5616.0,0.0006423520185182866
5536.0,0.0009632963469592378
5552.0,0.0010756232916186046
5600.0,0.0014786148664132789
5543.0,0.0013413568045706297
5537.0,0.0008763725971003997
5575.0,0.0007822355892565085
5615.0,0.0007954455631116141
5617.0,0.0011923665288952432
5531.0,0.0009036921453304415
5553.0,0.0009775225603186855
5574.0,0.0013685778870880037
5533.0,0.0007356111803352351
5619.0,0.00036360004975943046
5594.0,0.001252066281420281
5591.0,0.0009746191021677152
5583.0,0.0010525415218926985
5643.0,0.00040024127961845726
5526.0,0.0008730600456941362
5581.0,0.0007516965987508932
5528.0,0.0008308942609758802
5554.0,0.0008067726129386629
5487.0,0.0008587038437028375
5584.0,0.00038856972590577284
5501.0,0.0007134170219513954
5477.0,0.0009803587771990128
5507.0,0.0008616520941754028
5519.0,0.0008707823173460627
5559.0,0.0009164071552773488
5505.0,0.000872614383115217
5488.0,0.0010884243023293952
5546.0,0.0010012575611939491
5545.0,0.000903610208390628
5500.0,0.0008447622416055824
5471.0,0.0018977037443381939
5517.0,0.0007098393121921854
5532.0,0.0008886671291546089
5482.0,0.0007685754725626794
5590.0,0.0008867442046937121
5599.0,0.0008026802468397629
5548.0,0.0009741710356124796
5587.0,0.0006251107855716013
5549.0,0.0010531188242549551
5564.0,0.0008371198116799023
5580.0,0.0010164558330172497
5511.0,0.0006529776049881476
5558.0,0.0013557503346546848
5612.0,0.0016387529745377758
5571.0,0.0009925576506680904
5626.0,0.0009807504947927244
5635.0,0.0006136100075948202
5604.0,0.0008948367614113391
5566.0,0.000747495041356074
5535.0,0.0015120374984983588
5607.0,0.000613107032575571
5603.0,0.00037679739998680903
5475.0,0.0008780329432437209
5514.0,0.0007083300659010176
5541.0,0.0005620637868721495
5569.0,0.0010015175366005261
5525.0,0.0008403899073571353
5523.0,0.0010801844133935359
5486.0,0.001019205926322322
5530.0,0.0010479539042229625
5434.0,0.001013915829506681
5551.0,0.0010623381461665304
5427.0,0.000756481269381556
5538.0,0.0006260895339626198
5490.0,0.0007035801595099666
5582.0,0.0007734290848410778
5513.0,0.0012220215717556537
5506.0,0.000836250243264115
5522.0,0.0008786156888289882
5631.0,0.0004896639103361424
5573.0,0.0017799467110917008
5586.0,0.0003431335753014266
5596.0,0.0005682554273067056
5462.0,0.0005727167335299961
5601.0,0.001118898717878982
5597.0,0.0007944272081289245
5621.0,0.0008154698714526008
5567.0,0.0005712463648445606
5563.0,0.0008218885662515642
5598.0,0.001010290533710538
5565.0,0.0008210884444417175
5613.0,0.0006119024774081422
5520.0,0.0005841814449622555
5483.0,0.0007766861319686059
5457.0,0.0005975304896980592
5474.0,0.0006216938042891534
5472.0,0.0010381854036514149
5620.0,0.0004906318784378165
5585.0,0.00026138332821914854
5439.0,0.0
5458.0,0.0007761289043263979
5509.0,0.001155348915491954
5401.0,0.00016677379608154297
5495.0,0.0008713951004389424
5451.0,0.0012025256718566086
5461.0,0.0007973341430045388
5468.0,0.0007917482052224133
5608.0,0.0019159613822588577
5592.0,0.0007479302248150533
5628.0,0.0008147254336778303
5609.0,0.0006719887165423893
5415.0,0.0006977319717407227
5402.0,0.0
5539.0,0.0004245545390910563
5527.0,0.007278358970049186
5659.0,0.0
5671.0,0.0006215477043887239
5419.0,0.0
5660.0,0.00024199485778808594
5459.0,0.0009709053619234026
5493.0,0.0007474551876596404
5453.0,0.0002787371746630345
5450.0,0.000861869958702166
5421.0,0.0003771781921386719
5452.0,0.000913418113018941
5634.0,0.0008129334097627773
5593.0,0.0005581500380228348
5467.0,0.0010234291842224936
5667.0,0.0
5666.0,0.0006660223007202148
5668.0,0.0
5424.0,0.000987077853214952
5423.0,0.0008418296271281191
5436.0,0.0005780636898878783
5460.0,0.00020559951519618822
5437.0,0.00013799416291629445
5464.0,0.0009223209948908701
5446.0,0.0008633736890061724
5465.0,0.00033185808539788357
5480.0,0.0008041289660982565
5430.0,0.0
5542.0,0.0006976716917375672
5518.0,0.002681099294233602
5447.0,0.00018801609130722643
5432.0,0.0
5456.0,0.0009357566960119789
5651.0,0.0017349770201085814
5576.0,0.0005436646624904214
5674.0,0.0
5627.0,0.0009405208798747914
5647.0,0.0003236532211303711
5670.0,0.0
5625.0,0.0029477413497723576
5578.0,0.000463648881297477
5664.0,0.0
5636.0,0.0010425127014528609
5491.0,0.000770079181921549
5624.0,0.0003751228433294428
5494.0,0.0007709273684101042
5463.0,0.0010134554151156328
5515.0,0.0006377638695129567
5390.0,0.0
5473.0,0.0005836522579083549
5481.0,0.0009853117099178628
5649.0,0.00024603205399937515
5675.0,0.00022733211517333984
5614.0,0.0004548193547427532
5676.0,0.002494215965270996
5633.0,0.002307575628888835
5630.0,0.00032207801517374003
5653.0,0.0008011880271238832
5489.0,0.001071657493370485
5637.0,0.0005025569851196584
5644.0,0.000392913818359375
5639.0,0.0026752377919237705
5418.0,0.0004158060211459853
5476.0,0.0009160361519349281
5478.0,0.0011511407892168238
5650.0,0.0009176451045589534
5629.0,0.0007265826658495305
5438.0,0.00046591034755639506
5440.0,0.0006801329597686684
5340.0,0.0
5425.0,0.0
5428.0,0.0006628688190174509
5372.0,0.0
5455.0,0.00122477674768479
5429.0,0.0013142824172973633
5433.0,0.0008116960525512695
5407.0,0.0
5416.0,0.0013860692411198148
5417.0,0.0006756782531738281
5502.0,0.0004558829326362844
5408.0,0.0
5449.0,0.0008277532975790772
5404.0,0.0002415180206298828
5693.0,0.0
5665.0,0.00041925907135009766
5657.0,0.0
5397.0,0.0004972219467163086
5469.0,0.0006159292006058684
5646.0,4.863739013671875e-05
5713.0,0.0
5692.0,0.0
5632.0,0.0003239785889557856
5652.0,0.00015188908167691162
5678.0,0.0003675222396850586
5618.0,0.002692988558545071
5504.0,0.0005053770853130289
5422.0,0.0
5399.0,0.000574946403503418
5431.0,0.001318812370300293
5697.0,0.0009990930557250977
5708.0,0.0
5640.0,0.0006357005542242418
5682.0,0.0
5420.0,6.389617919921875e-05
5641.0,0.0
5711.0,0.0
5669.0,0.0007566799823153958
5648.0,0.00035250186920166016
5718.0,0.0
5684.0,7.855892181396484e-05
5698.0,0.0
5655.0,0.0001436471939086914
5663.0,0.0001572616289377538
5688.0,0.0
5393.0,0.0
5411.0,0.0004718828316695465
5426.0,0.0
5414.0,0.0
5385.0,0.0
5391.0,0.0
5403.0,0.0005468827815327999
5405.0,0.0
5679.0,0.0
5681.0,0.0002357959747314453
5654.0,0.0
5662.0,0.0
5645.0,0.0001251697540283203
5406.0,0.0
5454.0,0.0
5444.0,0.0
